English,Polski
evening,wieczór
master,gospodarz
known,znany
dream,śnić
write,pisać
million,milion
voice,głos
sweet,Słodkie
rather,raczej
felt,filc
sign,podpisać
lucky,Szczęściarz
somewhere,gdzieś
bet,Zakład
o,o
jesus,Jezus
longer,dłużej
calling,powołanie
worked,pracował
quiet,cichy
looked,wyglądał
less,mniej
pull,ciągnąć
beat,bić
careful,ostrożny
coffee,Kawa
return,zwrócić
secret,sekret
weeks,tygodnie
weren,Weren
date,data
seeing,widzenie
fall,spadek
given,dany
ooh,ooh
fault,wada
straight,proste
takes,trwa
song,utwór muzyczny
future,przyszły
gentlemen,Panowie
loved,kochany
changed,zmienione
road,droga
calm,spokojna
wonderful,#VALUE!
mad,szalony
turned,obrócony
drop,upuszczać
ladies,damski
learn,uczyć się
step,krok
absolutely,absolutnie
early,wczesny
explain,wyjaśnić
clean,czysty
piece,kawałek
yesterday,#VALUE!
throw,rzucić
picture,obrazek
land,grunt
feet,stopy
wonder,cud
questions,pytania
speaking,Mówienie
worth,wartość
darling,kochanie
dude,koleś
giving,dający
president,prezydent
eye,oko
quick,szybki
moving,poruszający
figure,postać
state,państwo
strong,silny
sam,Sam
none,Żaden
amazing,zdumiewający
ones,te
works,Pracuje
act,akt
needed,potrzebne
weird,dziwny
law,prawo
worried,zmartwiony
report,raport
goodbye,do widzenia
missing,zaginiony
choice,wybór
happening,wydarzenie
chief,szef
wedding,ślub
strange,dziwny
general,ogólny
pain,ból
am,jestem  
kidding,żart
decided,zdecydowany
ya,ya
pass,podawać
tired,zmęczony
class,klasa
officer,oficer
kept,trzymane
wake,budzić
worse,gorzej
busy,zajęty
eh,Eh
mistake,błąd
kiss,pocałunek
court,Sąd
building,budynek
finish,koniec
during,w trakcie
age,wiek
ship,statek
caught,złapany
marry,ożenić
meant,oznaczał
sell,Sprzedać
dark,ciemny
watching,oglądanie
system,system
suppose,przypuszczać
evidence,dowód
movie,film
ride,jeździć
t,t
completely,całkowicie
mouth,usta
totally,całkowicie
birthday,urodziny
tv,telewizja
forgive,przebaczyć
born,urodzić się
imagine,wyobrażać sobie
information,Informacja
instead,zamiast
definitely,Zdecydowanie
security,bezpieczeństwo
certainly,z pewnością
film,film
month,miesiąc
lying,kłamliwy
unless,chyba że
train,pociąg
seven,siedem
wear,nosić 
clothes,odzież
michael,Michał
hotel,hotel
christmas,Boże Narodzenie
attack,atak
hasn,HAD
round,okrągły
expect,oczekiwać
sing,śpiewać
terrible,straszny
george,Jerzy
bag,torba
history,historia
blue,niebieski
near,Blisko
broke,zepsuł się
station,stacja
seriously,na serio
forever,na zawsze
david,David
frank,szczery
except,oprócz
thinks,myśli
message,wiadomość
entire,Cały
joe,Joe
table,stół
talked,rozmawiałem
across,przez
rock,głaz
lovely,śliczny
handle,uchwyt
middle,środek
buddy,kumpel
paid,płatny
protect,chronić
using,za pomocą
floor,piętro
ran,biegł
swear,przeklinać
spend,spędzić
situation,sytuacja
ring,dzwonić
anywhere,gdziekolwiek
dangerous,niebezpieczny
bill,rachunek
york,York
army,armia
lead,Ołów
bought,kupił
finished,skończone
fair,sprawiedliwy
sun,słońce
letter,list
fool,głupiec
attention,Uwaga
club,Klub
simple,prosty
interesting,ciekawe
space,przestrzeń
test,test
box,skrzynka
group,Grupa
single,pojedynczy
sitting,posiedzenie
marriage,małżeństwo
join,Przystąp
fear,strach
d,d
peace,pokój
forgot,zapomniałem
force,zmuszać
short,niski
normal,normalna
charlie,Charlie
present,teraźniejszość
enjoy,smacznego
mike,mikrofon
crime,przestępczość
horse,koń
ground,grunt
american,amerykański
count,liczyć
area,powierzchnia
charge,opłata
honor,zaszczyt
lunch,obiad
miles,Mile
radio,radio
idiot,idiota
ball,piłka
surprise,niespodzianka
paper,papier
key,klucz
boat,łódź
quickly,szybko
gold,złoto
bar,bar
fish,ryba
mark,znak
tom,Tomek
wearing,ma na sobie
crying,płacz
accident,wypadek
government,rząd
eight,osiem
fell,spadł
cover,pokrywa
certain,pewny
interested,zainteresowany
deep,głęboko
star,gwiazda
sea,morze
agree,Zgodzić się
problems,problemy
detective,detektyw
prison,więzienie
major,poważny
stick,stick
offer,oferta
difficult,trudny
smart,mądry
personal,osobisty
record,nagrywać
stopped,zatrzymany
hide,ukryć
whether,czy
bank,Bank
trip,wycieczka
relax,zrelaksować się
america,Ameryka
public,publiczny
list,lista
afternoon,wieczór
brain,mózg
fix,naprawić
bastard,bękart
proud,dumny
tea,herbata
service,usługa
screaming,Krzyczenie
forward,Naprzód
angry,zły
park,park
soul,dusza
fighting,walczący
peter,Piotr
rich,bogaty
agent,agent
blow,cios
paul,Paweł
dress,sukienka
mary,Mary
missed,pominięty
scene,scena
killing,zabicie
standing,na stojąco
saved,uratowany
mm,mm
respect,Poszanowanie
killer,zabójca
ice,lód
mess,bałagan
tough,trudny
feels,odczucia
church,kościół
sad,smutny
cell,komórka
drunk,pijany
share,dzielić
camera,aparat fotograficzny
mm-hmm,MM-HMM
within,w ciągu
card,karta
fly,latać
ben,Ben
girlfriend,dziewczyna
laugh,śmiać się
smell,zapach
broken,złamany
mum,milczący
honest,uczciwy
often,często
starting,startowy
calls,połączenia
y,y
spent,zużyty
third,trzeci
english,język angielski
visit,wizyta
mama,mama
judge,sędzia
window,okno
hungry,głodny
dare,odważyć się
relationship,relacja
moved,przeniósł
prove,udowodnić
private,prywatny
wall,Ściana
seat,siedzenie
i-i,I-i
position,pozycja
lieutenant,porucznik
realize,realizować
lt,Lt
especially,szczególnie
machine,maszyna
walking,pieszy
art,sztuka
pleasure,przyjemność
bloody,krwawy
college,Szkoła Wyższa
french,Francuski
involved,zaangażowany
cry,płakać
became,stał się
lived,żył
impossible,niemożliwy
obviously,oczywiście
neither,żaden
accept,zaakceptować
boyfriend,chłopak
besides,oprócz
queen,królowa
teacher,nauczyciel
cops,Gliniarze
sake,wzgląd
loves,kocha
carry,mieć przy sobie
teach,uczyć
apartment,apartament
upset,smutny
green,Zielony
la,la
liked,lubił
cute,ładny
evil,zło
professor,profesor
contact,kontakt
joke,żart
cop,policjant
huge,olbrzymi
holy,święty
store,sklep
jail,więzienie
likes,lubi
lawyer,prawnik
doubt,wątpić
continue,kontynuować
appreciate,doceniać
cat,kot
shop,sklep
driving,napędowy
congratulations,Gratulacje
wrote,napisał
village,wieś
quit,zrezygnować 
field,pole
james,James
wine,wino
decision,decyzja
south,południe
sleeping,spanie
slow,wolny
laughter,śmiech
island,wyspa
glass,szkło
beginning,początek
cash,gotówka
dying,umierający
hundred,sto
whose,którego
difference,różnica
plane,samolot
push,naciskać
continues,trwa
mmm,mmm
singing,śpiewanie
eating,jedzenie
north,północ
mrs,Pani
tree,drzewo
madam,Szanowna Pani
gift,prezent
truck,ciężarówka
putting,umieszczanie
bear,niedźwiedź
board,tablica
grab,chwycić
beer,piwo
stuck,zablokowany
magic,magia
support,Pomoc
rules,zasady
grunts,chrząknięcie
partner,partner
reach,zasięg
wind,wiatr
colonel,pułkownik
max,Max
immediately,od razu
seconds,sekundy
thousand,tysiąc
gives,daje
experience,doświadczenie
cheers,Twoje zdrowie
victim,ofiara
upon,od
computer,komputer
christ,Chrystus
planet,planeta
promised,Obiecane
bus,autobus
henry,henz
dirty,brudny
search,Szukaj
staying,przebywający
dreams,sny
arrest,aresztować
holding,trzymać
suddenly,nagle
usually,zwykle
lots,wiele
shoes,buty
er,ER
jump,skok
rid,eliminować
yo,Siema
knock,pukanie
owe,być winnym
harry,złupić
grow,rosnąć
worst,najgorszy
river,rzeka
aunt,ciotka
patient,pacjent
kitchen,kuchnia
aah,Aah
fat,tłuszcz
passed,przeszedł
m,m
final,finał
summer,lato
bob,pion
listening,słuchający
escape,ucieczka
everywhere,wszędzie
moon,księżyc
arms,ramiona
turns,zakręty
address,adres zamieszkania
ow,OW
match,mecz
gasps,Sapps
grand,wielki
yep,tak
shh,Shh
nervous,nerwowy
de,de
choose,wybierać
themselves,sobie
decide,zdecydować
mate,kumpel
drinking,picie
press,naciśnij
bother,niepokoić
foot,stopa
hadn,Had
blame,winić
crap,bzdury
drugs,leki
type,rodzaj
rings,pierścienie
mission,misja
named,o nazwie
heaven,niebo
ii,ii
picked,doborowy
paris,Paryż
race,Wyścig
risk,ryzyko
books,książki
further,dalej
danny,Danny
action,akcja
allowed,dozwolony
orders,Zamówienia
learned,nauczyli
price,Cena £
arrived,przybył
nick,nacięcie
otherwise,Inaczej
pictures,kino
fit,pasować
smoke,palić
favor,przychylność
played,grał
notice,zauważyć
awesome,Wspaniały
smile,uśmiech
director,dyrektor
guard,strażnik
begin,zaczynać
spot,miejsce
surprised,zaskoczony
innocent,niewinny
narrator,narrator
herself,się
london,Londyn
feelings,uczucia
enemy,wróg
battle,bitwa
ourselves,my sami
alex,Alex
dollars,dolary
allow,umożliwić
nine,dziewięć
gay,Gay
department,dział
guilty,winny
apart,oprócz
earlier,wcześniej
duty,obowiązek
jim,Jim
suit,garnitur
bell,dzwon
west,Zachód
legs,nogi
hero,bohater
destroy,zniszczyć
stage,etap
bunch,garść
according,według
chicken,kurczak
bigger,Większy
grunting,pochrząkiwanie
low,niski
helping,porcja jedzenia
admit,przyznawać 
closed,Zamknięte
names,nazwy
witness,świadek
upstairs,na górę
arm,ramię
steal,kraść
jimmy,Jimmy
kick,kopnięcie
twice,dwa razy
cross,krzyż
ways,sposoby
sergeant,sierżant
indeed,rzeczywiście
gas,gaz
keeping,konserwacja
energy,energia
pregnant,w ciąży
waste,marnotrawstwo
helped,pomógł
fired,zwolniony z pracy
favorite,ulubiony
tony,Tony
taste,smak
locked,zablokowany
places,miejsca
writing,pismo
adam,Adam
brothers,bracia
starts,zaczyna się
prince,książę
form,Formularz
sold,sprzedany
silly,głupi
mention,wzmianka
build,budować
throat,gardło
hole,otwór
figured,wzorzysty
track,tor
ringing,dzwonienie
lock,Zamek
leg,noga
above,nad
hiding,ukrywanie
steve,Steve
seemed,wydawało się
breakfast,śniadanie
engine,silnik
written,pisemny
complete,kompletny
video,wideo
applause,oklaski
however,jednakże
pressure,nacisk
fresh,świeży
weapon,broń
sky,niebo
ms.,SM.
stole,Ukradłem
study,nauka
burn,oparzenie
reading,czytanie
crowd,tłum
treat,leczyć
roll,rolka
double,podwójnie
spirit,duch
danger,zagrożenie
cost,koszt
empty,pusty
level,poziom
memory,pamięć
itself,samo
acting,gra aktorska
interest,odsetki
nose,nos
plans,plany
following,następny
bathroom,łazienka
built,wybudowany
closer,bliższy
ray,promień
sarah,Sarah
band,pasmo
groans,stękanie
apparently,widocznie
excited,podekscytowany
richard,Richard
losing,przegrywający
animals,Zwierząt
flight,lot
nature,Natura
raise,podnieść
pop,Muzyka pop
client,klient
bomb,bomba
neck,szyja
suspect,podejrzany
warm,ciepły
extra,dodatkowy
bottle,butelka
van,awangarda
heavy,ciężki
mommy,mamusia
dogs,psy
wild,dziki
ridiculous,śmieszny
simply,po prostu
lee,zawietrzny
animal,zwierzę
showed,pokazane
billy,menażka
shooting,strzelanie
keeps,Keeps
camp,obóz
guns,pistolety
medical,medyczny
shame,wstyd
hoping,mając nadzieję
whom,"kogo, komu"
bird,ptak
majesty,majestat
flowers,kwiaty
famous,słynny
asleep,we śnie
beauty,piękno
driver,kierowca
keys,Klucze
rain,deszcz
awful,okropny
large,wielki
local,lokalny
deserve,zasługiwać
goddamn,przeklęty
stone,złóg
jane,Jane
grace,wdzięk
consider,rozważać
weekend,weekend
wondering,#VALUE!
lay,kłaść
plenty,dużo
willing,chętny
pants,Spodnie
sweetheart,kochanie
skin,skóra
excellent,doskonały
asshole,dupek
beach,plaża
c,c
faith,wiara
beg,błagać
fuckin,Kurwa
responsible,odpowiedzialny
military,wojskowy
cheering,doping
opportunity,możliwość
common,wspólny
bottom,na dole
german,Niemiecki
whoever,ktokolwiek
cook,gotować
walked,Szedł
papers,dokumenty tożsamości
justice,sprawiedliwość
hall,hol
commander,dowódca
drug,lek
main,Główny
knife,nóż
devil,diabeł
necessary,niezbędny
although,Chociaż
princess,księżniczka
lights,światła
flying,latający
dick,kutas
rose,Róża
knowing,porozumiewawczy
clearly,Wyraźnie
hat,kapelusz
agreed,Zgoda
johnny,Jasio
corner,narożnik
code,kod
note,Notatka
tommy,Tommy
due,należny
correct,prawidłowy
apologize,przepraszać
language,język
stars,gwiazdy
faster,szybciej
cars,samochody
folks,ludzie
bullshit,głupie gadanie
i.,i.
fellow,kolega
several,kilka
grandma,babcia
shows,przedstawia
leader,lider
leaves,odchodzi
restaurant,restauracja
east,wschód
shouting,rozkrzyczany
blind,ślepy
ghost,duch
cup,Puchar
gotten,Got
tight,obcisły
conversation,rozmowa
tells,mówi
lies,kłamstwa
nor,ani
pulled,pociągnięty
hanging,wiszące
speed,prędkość
stories,historie
health,zdrowie
advice,Rada
held,trzymany
uh-huh,UH Huh
murdered,zamordowany
beyond,poza
rule,reguła
hardly,prawie wcale
possibly,prawdopodobnie
inspector,inspektor
cousin,kuzyn
trial,test
emergency,nagły wypadek
ought,powinien
eddie,Eddie
somehow,jakoś
hearing,przesłuchanie
states,państwa
account,rachunek
spoke,przemówił
file,plik
understood,zrozumiany
angel,anioł
tape,taśma
milk,mleko
powerful,potężny
weapons,bronie
practice,ćwiczyć
manager,menedżer
pardon,pardon
vote,głosować
jake,Jake
national,krajowy
career,kariera
minister,minister
super,super
taught,nauczony
robert,Robert
biggest,największy
plays,sztuki
natural,naturalny
dancing,taniec
copy,Kopiuj
plus,plus
martin,jaskółka oknówka
cake,ciasto
freedom,wolność
among,wśród
breath,oddech
operation,operacja
chris,Chris
crew,załoga
challenge,wyzwanie
market,rynek
meat,mięso
towards,w stronę
bringing,przynoszący
dropped,porzucone
student,student
lied,skłamał
strength,siła
size,rozmiar
breathe,oddychać
color,kolor
monster,potwór
loud,głośno
photo,zdjęcie
aw,aw
nearly,prawie
sight,widok
greatest,Największy
games,Gry
bridge,most
dressed,ubrany
arrested,aresztowany
horrible,okropny
coach,trener
planning,planowanie
checked,w kratę
breaking,łamanie
noticed,zauważony
fantastic,fantastyczny
screams,krzyki
serve,obsługiwać
ideas,pomysły
investigation,dochodzenie
center,środek
older,starsze
pack,Pakiet
soldiers,żołnierski
nonsense,nonsens
doc,Doc
project,projekt
training,trening
example,przykład
trick,sztuczka
prepared,przygotowany
science,nauki ścisłe
united,zjednoczony
travel,podróż
incredible,niesamowite
grandpa,dziadek
paying,intratny
character,postać
teeth,zęby
criminal,kryminalista
charles,Charles
chinese,chiński
truly,naprawdę
honestly,szczerze
bro,bracie
survive,przeżyć
bobby,konstabl
target,cel
feed,karmić
nurse,pielęgniarka
e,mi
fake,podróbka
records,dokumentacja
breathing,oddechowy
sweetie,kochanie
numbers,liczby
oil,olej
suicide,samobójstwo
belong,należeć
whoo,Whoo
perfectly,doskonale
amy,Amy
forgotten,zapomniany
remain,pozostać
original,oryginał
papa,papa
onto,na
concerned,zainteresowany
credit,kredyt
ugh,Ugh
invited,zaproszony
discuss,omówić
research,Badania
easier,łatwiej
view,pogląd
chair,krzesło
hurts,boli
strike,strajk
roger,zrozumiałem
fill,wypełnić
condition,stan
mountain,Góra
dr,dr
nowhere,nigdzie
sheriff,szeryf
kim,Kim
turning,obrócenie
brown,brązowy
recognize,rozpoznać
heads,głowy
audience,publiczność
all,wszystko
jealous,zazdrosny
pretend,udawać
society,społeczeństwo
finding,odkrycie
shirt,koszula
comfortable,wygodna
meaning,oznaczający
guest,Gość
pieces,sztuki
dry,suchy
letting,pozwalając
began,zaczął się
aye,zawsze
jeff,Jeff
female,kobieta
release,wydanie
ho,Ho
cards,karty
pray,módl się
unfortunately,niestety
balls,kulki
destroyed,zniszczony
ended,zakończyło się
universe,wszechświat
prepare,przygotować
opinion,opinia
movies,kino
soldier,żołnierz
wash,myć się
program,program
heat,ciepło
usual,zwykły
ticket,bilet
stolen,skradziony
prefer,woleć
aware,świadomy
surely,pewno
male,mężczyzna
base,baza
matters,spraw
lift,winda
lab,laboratorium
command,Komenda
proof,dowód
cream,krem
selling,sprzedawanie
believed,wierzył
create,Stwórz
h,h
afford,pozwalać
sunday,niedziela
total,całkowity
dumb,głupi
threw,rzucił
france,Francja
birth,narodziny
created,Utworzony
realized,realizowany
british,brytyjski
noise,hałas
nuts,orzechy
students,studenci
birds,ptaki
social,społeczny
brilliant,znakomity
bodies,ciała
tie,krawat
opened,otwierany
ours,nasz
bucks,Bucks
kevin,Kevin
mister,pan
ugly,brzydki
ryan,Ryan
focus,skupiać
dan,Dan
opens,otwiera się
exist,istnieć
followed,po nim
england,Anglia
draw,remis
purpose,zamiar
letters,listy
daniel,Daniel
opening,otwarcie
bullet,pocisk
anna,Ania
lately,ostatnio
stayed,Został
falling,spadający
season,pora roku
ends,kończy się
suggest,sugerować
joy,radość
distance,dystans
responsibility,odpowiedzialność
whenever,"zawsze, gdy"
issue,kwestia
thousands,#VALUE!
process,proces
sword,miecz
shower,kabina prysznicowa
weak,słaby
fucked,Pieprzony
lonely,samotny
happiness,szczęście
eric,Eric
tiny,malutki
desk,biurko
pool,basen
property,własność
forced,wymuszony
settle,rozstrzygnąć
indistinct,niewyraźny
weight,waga
received,Odebrane
gang,banda
bite,ugryzienie
friday,piątek
disappeared,zniknął
interview,wywiad
expecting,przy nadziei
kinda,poniekąd
surgery,Chirurgia
horses,Konie
mayor,burmistrz
babe,dziecko
ancient,starożytny
handsome,przystojny
thomas,Tomasz
saturday,sobota
staff,personel
lines,linie
unit,jednostka
fan,miłośnik
gentleman,pan
introduce,przedstawiać
fate,los
split,rozdzielać
recently,ostatnio
expected,spodziewany
add,Dodaj
ordered,zamówiono
slowly,powoli
alarm,alarm
member,członek
slept,spał
signed,podpisane
enter,wejść
spanish,hiszpański
garden,ogród
brings,przynosi
brave,odważny
pig,świnia
model,Model
finger,palec
medicine,lekarstwo
access,dostęp
failed,przegrany
flat,mieszkanie
easily,z łatwością
discovered,odkryty
based,na podstawie
screw,śruba
insane,obłąkany
cares,troszczy się
weather,pogoda
fingers,palce
san,San
scott,Scott
path,ścieżka
soft,miękki
harm,zaszkodzić
style,styl
community,wspólnota
sees,widzi
basically,zasadniczo
al,glin
signal,sygnał
nope,nie
spare,zapasowy
speech,przemówienie
covered,pokryty
shake,potrząsnąć
loose,luźny
snow,śnieg
russian,Rosyjski
lake,jezioro
bright,jasny
roof,dach
ohh,Ohh
sending,wysyłanie
paint,farba
remind,przypominać
pal,kumpel
naked,nagi
post,Poczta
sugar,cukier
heading,nagłówek
streets,ulice
damage,szkoda
silence,cisza
doors,drzwi
pete,Pete
ed,wyd
success,powodzenie
wet,mokro
nah,Nie
amount,ilość
members,członkowie
kate,Kate
manage,zarządzać
safety,bezpieczeństwo
returned,zwrócony
harder,trudniej
fbi,FBI
block,blok
showing,seans
fancy,wymyślny
chef,szef kuchni
contract,kontrakt
dig,kopać
chest,skrzynia
